operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819382070|1759819382071|10|0|4118736
LdbcQuery11|1759819382096|1759819382096|8|0|4144640
LdbcQuery11|1759819382121|1759819382121|10|0|4170544
LdbcQuery11|1759819382147|1759819382148|13|0|4196448
LdbcQuery11|1759819382173|1759819382173|12|0|4222352
LdbcQuery11|1759819382199|1759819382200|8|0|4248256
LdbcQuery11|1759819382225|1759819382226|9|0|4274160
LdbcQuery11|1759819382251|1759819382251|10|0|4300064
LdbcQuery11|1759819382277|1759819382277|9|0|4325968
LdbcQuery11|1759819382303|1759819382303|9|0|4351872
LdbcQuery11|1759819382329|1759819382330|9|0|4377776
LdbcQuery11|1759819382355|1759819382357|8|0|4403680
LdbcQuery11|1759819382380|1759819382380|9|0|4429584
LdbcQuery11|1759819382406|1759819382407|7|0|4455488
LdbcQuery11|1759819382432|1759819382433|8|0|4481392
LdbcQuery11|1759819382458|1759819382458|9|0|4507296
LdbcQuery11|1759819382484|1759819382485|8|0|4533200
LdbcQuery11|1759819382510|1759819382511|7|0|4559104
LdbcQuery11|1759819382536|1759819382537|8|0|4585008
LdbcQuery11|1759819382562|1759819382562|8|0|4610912
LdbcQuery11|1759819382588|1759819382589|7|0|4636816
LdbcQuery11|1759819382614|1759819382614|9|0|4662720
LdbcQuery11|1759819382640|1759819382641|8|0|4688624
LdbcQuery11|1759819382665|1759819382665|7|0|4714528
LdbcQuery11|1759819382691|1759819382692|7|0|4740432
LdbcQuery11|1759819382717|1759819382719|8|0|4766336
LdbcQuery11|1759819382743|1759819382743|9|0|4792240
LdbcQuery11|1759819382769|1759819382769|10|0|4818144
LdbcQuery11|1759819382795|1759819382795|8|0|4844048
LdbcQuery11|1759819382821|1759819382821|7|0|4869952
LdbcQuery11|1759819382847|1759819382848|10|0|4895856
LdbcQuery11|1759819382873|1759819382873|9|0|4921760
LdbcQuery11|1759819382899|1759819382900|9|0|4947664
LdbcQuery11|1759819382924|1759819382925|37|0|4973568
LdbcQuery11|1759819382950|1759819382951|11|0|4999472
LdbcQuery11|1759819382976|1759819382976|7|0|5025376
LdbcQuery11|1759819383002|1759819383003|7|0|5051280
LdbcQuery11|1759819383028|1759819383028|8|0|5077184
