operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819579144|1759819579144|5|0|4118736
LdbcQuery11|1759819579170|1759819579170|7|0|4144640
LdbcQuery11|1759819579195|1759819579196|6|0|4170544
LdbcQuery11|1759819579221|1759819579222|5|0|4196448
LdbcQuery11|1759819579247|1759819579247|7|0|4222352
LdbcQuery11|1759819579273|1759819579273|10|0|4248256
LdbcQuery11|1759819579299|1759819579299|7|0|4274160
LdbcQuery11|1759819579325|1759819579325|4|0|4300064
LdbcQuery11|1759819579351|1759819579351|6|0|4325968
LdbcQuery11|1759819579377|1759819579377|6|0|4351872
LdbcQuery11|1759819579403|1759819579405|9|0|4377776
LdbcQuery11|1759819579429|1759819579429|6|0|4403680
LdbcQuery11|1759819579454|1759819579454|7|0|4429584
LdbcQuery11|1759819579480|1759819579480|8|0|4455488
LdbcQuery11|1759819579506|1759819579507|5|0|4481392
LdbcQuery11|1759819579532|1759819579532|6|0|4507296
LdbcQuery11|1759819579558|1759819579558|5|0|4533200
LdbcQuery11|1759819579584|1759819579584|9|0|4559104
LdbcQuery11|1759819579610|1759819579610|6|0|4585008
LdbcQuery11|1759819579636|1759819579637|5|0|4610912
LdbcQuery11|1759819579662|1759819579663|7|0|4636816
LdbcQuery11|1759819579688|1759819579689|7|0|4662720
LdbcQuery11|1759819579714|1759819579715|8|0|4688624
LdbcQuery11|1759819579739|1759819579740|6|0|4714528
LdbcQuery11|1759819579765|1759819579765|6|0|4740432
LdbcQuery11|1759819579791|1759819579791|6|0|4766336
LdbcQuery11|1759819579817|1759819579817|6|0|4792240
LdbcQuery11|1759819579843|1759819579844|6|0|4818144
LdbcQuery11|1759819579869|1759819579870|8|0|4844048
LdbcQuery11|1759819579895|1759819579895|5|0|4869952
LdbcQuery11|1759819579921|1759819579922|8|0|4895856
LdbcQuery11|1759819579947|1759819579948|7|0|4921760
LdbcQuery11|1759819579973|1759819579974|5|0|4947664
LdbcQuery11|1759819579998|1759819579998|6|0|4973568
LdbcQuery11|1759819580024|1759819580025|7|0|4999472
LdbcQuery11|1759819580050|1759819580050|5|0|5025376
LdbcQuery11|1759819580076|1759819580077|5|0|5051280
LdbcQuery11|1759819580102|1759819580102|5|0|5077184
LdbcQuery11|1759819580128|1759819580128|7|0|5103088
LdbcQuery11|1759819580154|1759819580155|7|0|5128992
LdbcQuery11|1759819580180|1759819580180|7|0|5154896
LdbcQuery11|1759819580206|1759819580206|6|0|5180800
LdbcQuery11|1759819580232|1759819580232|7|0|5206704
LdbcQuery11|1759819580258|1759819580259|6|0|5232608
LdbcQuery11|1759819580283|1759819580284|4|0|5258512
LdbcQuery11|1759819580309|1759819580310|5|0|5284416
LdbcQuery11|1759819580335|1759819580335|4|0|5310320
LdbcQuery11|1759819580361|1759819580361|6|0|5336224
LdbcQuery11|1759819580387|1759819580388|6|0|5362128
LdbcQuery11|1759819580413|1759819580415|7|0|5388032
LdbcQuery11|1759819580439|1759819580440|6|0|5413936
LdbcQuery11|1759819580465|1759819580465|8|0|5439840
LdbcQuery11|1759819580491|1759819580491|6|0|5465744
LdbcQuery11|1759819580517|1759819580518|5|0|5491648
LdbcQuery11|1759819580542|1759819580542|8|0|5517552
LdbcQuery11|1759819580568|1759819580568|6|0|5543456
LdbcQuery11|1759819580594|1759819580594|9|0|5569360
LdbcQuery11|1759819580620|1759819580621|7|0|5595264
LdbcQuery11|1759819580646|1759819580648|5|0|5621168
